province,city,terminal_name
광주광역시,동구,학동시외버스정류장
광주광역시,북구,문화동시외버스정류소
광주광역시,북구,운암동시외버스정류소
광주광역시,서구,광주종합버스터미널(유.스퀘어)
세종특별자치시,세종특별자치시,세종고속시외버스터미널
세종특별자치시,세종특별자치시,세종청사정류소(하행)
세종특별자치시,세종특별자치시,정부세종청사정류장
세종특별자치시,세종특별자치시,조치원버스터미널
강원특별자치도,강릉시,강릉시외버스터미널
강원특별자치도,강릉시,고단
강원특별자치도,강릉시,삽당령
강원특별자치도,강릉시,송현리(강릉시)
강원특별자치도,강릉시,왕산(강릉시)
강원특별자치도,강릉시,주문진시외버스종합터미널
강원특별자치도,고성군,간성터미널
강원특별자치도,고성군,거진시외버스터미널
강원특별자치도,고성군,대진시외버스터미널
강원특별자치도,동해시,동해시종합버스터미널
강원특별자치도,삼척시,도계버스터미널(삼척)
강원특별자치도,삼척시,삼척종합버스정류장
강원특별자치도,삼척시,삼척해변정류장
강원특별자치도,삼척시,임원버스정류소
강원특별자치도,삼척시,장호정류장
강원특별자치도,삼척시,호산버스정류장
강원특별자치도,속초시,물치정류소
강원특별자치도,속초시,속초고속버스터미널
강원특별자치도,속초시,속초시외버스터미널
강원특별자치도,양구군,대월
강원특별자치도,양구군,양구시외버스터미널
강원특별자치도,양구군,양구정중앙터미널
강원특별자치도,양양군,낙산버스터미널
강원특별자치도,양양군,남애
강원특별자치도,양양군,손양
강원특별자치도,양양군,양양국제공항
강원특별자치도,양양군,양양종합여객터미널
강원특별자치도,양양군,오색버스터미널
강원특별자치도,양양군,인구
강원특별자치도,양양군,하조대정류소
강원특별자치도,영월군,영월시외버스정류장
강원특별자치도,원주시,귀래정류소
강원특별자치도,원주시,문막버스정류소
강원특별자치도,원주시,원주시외버스터미널
강원특별자치도,인제군,백담사입구정류소
강원특별자치도,인제군,신남정류장
강원특별자치도,인제군,원통버스터미널
강원특별자치도,인제군,인제터미널
강원특별자치도,인제군,현리시외버스터미널
강원특별자치도,정선군,고한사북공영버스터미널
강원특별자치도,정선군,나전(정선)
강원특별자치도,정선군,신동(정선)
강원특별자치도,정선군,여량
강원특별자치도,정선군,임계시외버스터미널
강원특별자치도,정선군,정선공영버스터미널
강원특별자치도,정선군,하늘공원
강원특별자치도,철원군,동송시외버스공용터미널
강원특별자치도,철원군,신철원터미널
강원특별자치도,철원군,와수터미널
강원특별자치도,춘천시,강촌버스승강장
강원특별자치도,춘천시,군단앞(춘천)
강원특별자치도,춘천시,남면(추곡)
강원특별자치도,춘천시,당림리
강원특별자치도,춘천시,동부아파트(춘천)
강원특별자치도,춘천시,두미르아파트정류장
강원특별자치도,춘천시,발산리정류장
강원특별자치도,춘천시,사북면사
강원특별자치도,춘천시,상호아파트
강원특별자치도,춘천시,서천1리
강원특별자치도,춘천시,서천2리
강원특별자치도,춘천시,소양로배터
강원특별자치도,춘천시,신포중학교
강원특별자치도,춘천시,안보리
강원특별자치도,춘천시,어리고개정류장
